2025-07-08 06:08:51 status installed libc6:amd64 2.31-0ubuntu9
2025-07-08 06:08:51 startup archives install
2025-07-08 06:08:51 install perl-base:amd64 <none> 5.30.0-9build1
2025-07-08 06:08:51 status half-installed perl-base:amd64 5.30.0-9build1
2025-07-08 06:08:51 status unpacked perl-base:amd64 5.30.0-9build1
2025-07-08 06:08:51 configure perl-base:amd64 5.30.0-9build1 5.30.0-9build1
2025-07-08 06:08:51 status half-configured perl-base:amd64 5.30.0-9build1
2025-07-08 06:08:51 status installed perl-base:amd64 5.30.0-9build1
2025-07-08 06:08:51 startup archives install
2025-07-08 06:08:51 install mawk:amd64 <none> 1.3.4.20200120-2
2025-07-08 06:08:51 status half-installed mawk:amd64 1.3.4.20200120-2
2025-07-08 06:08:51 status unpacked mawk:amd64 1.3.4.20200120-2
2025-07-08 06:08:51 configure mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2025-07-08 06:08:51 status half-configured mawk:amd64 1.3.4.20200120-2
2025-07-08 06:08:51 status installed mawk:amd64 1.3.4.20200120-2
2025-07-08 06:08:51 startup archives install
2025-07-08 06:08:51 install debconf:all <none> 1.5.73
2025-07-08 06:08:51 status half-installed debconf:all 1.5.73
2025-07-08 06:08:51 status unpacked debconf:all 1.5.73
2025-07-08 06:08:51 configure debconf:all 1.5.73 1.5.73
2025-07-08 06:08:51 status half-configured debconf:all 1.5.73
2025-07-08 06:08:51 status installed debconf:all 1.5.73
2025-07-08 06:08:51 startup archives unpack
2025-07-08 06:08:51 upgrade base-files:amd64 11ubuntu5 11ubuntu5
2025-07-08 06:08:51 status half-configured base-files:amd64 11ubuntu5
2025-07-08 06:08:51 status unpacked base-files:amd64 11ubuntu5
2025-07-08 06:08:51 status half-installed base-files:amd64 11ubuntu5
2025-07-08 06:08:51 status unpacked base-files:amd64 11ubuntu5
2025-07-08 06:08:51 upgrade base-passwd:amd64 3.5.47 3.5.47
2025-07-08 06:08:51 status half-configured base-passwd:amd64 3.5.47
2025-07-08 06:08:51 status unpacked base-passwd:amd64 3.5.47
2025-07-08 06:08:51 status half-installed base-passwd:amd64 3.5.47
2025-07-08 06:08:51 status unpacked base-passwd:amd64 3.5.47
2025-07-08 06:08:51 install bash:amd64 <none> 5.0-6ubuntu1
2025-07-08 06:08:51 status half-installed bash:amd64 5.0-6ubuntu1
2025-07-08 06:08:51 status unpacked bash:amd64 5.0-6ubuntu1
2025-07-08 06:08:51 install bsdutils:amd64 <none> 1:2.34-0.1ubuntu9
2025-07-08 06:08:51 status half-installed bsdutils:amd64 1:2.34-0.1ubuntu9
2025-07-08 06:08:51 status unpacked bsdutils:amd64 1:2.34-0.1ubuntu9
2025-07-08 06:08:51 install coreutils:amd64 <none> 8.30-3ubuntu2
2025-07-08 06:08:51 status half-installed coreutils:amd64 8.30-3ubuntu2
2025-07-08 06:08:52 status unpacked coreutils:amd64 8.30-3ubuntu2
2025-07-08 06:08:52 install dash:amd64 <none> 0.5.10.2-6
2025-07-08 06:08:52 status half-installed dash:amd64 0.5.10.2-6
2025-07-08 06:08:52 status unpacked dash:amd64 0.5.10.2-6
2025-07-08 06:08:52 upgrade debconf:all 1.5.73 1.5.73
2025-07-08 06:08:52 status half-configured debconf:all 1.5.73
2025-07-08 06:08:52 status unpacked debconf:all 1.5.73
2025-07-08 06:08:52 status half-installed debconf:all 1.5.73
2025-07-08 06:08:52 status unpacked debconf:all 1.5.73
2025-07-08 06:08:52 install debianutils:amd64 <none> 4.9.1
2025-07-08 06:08:52 status half-installed debianutils:amd64 4.9.1
2025-07-08 06:08:52 status unpacked debianutils:amd64 4.9.1
2025-07-08 06:08:52 install diffutils:amd64 <none> 1:3.7-3
2025-07-08 06:08:52 status half-installed diffutils:amd64 1:3.7-3
2025-07-08 06:08:52 status unpacked diffutils:amd64 1:3.7-3
2025-07-08 06:08:52 upgrade dpkg:amd64 1.19.7ubuntu3 1.19.7ubuntu3
2025-07-08 06:08:52 status half-configured dpkg:amd64 1.19.7ubuntu3
2025-07-08 06:08:52 status unpacked dpkg:amd64 1.19.7ubuntu3
2025-07-08 06:08:52 status half-installed dpkg:amd64 1.19.7ubuntu3
2025-07-08 06:08:52 status unpacked dpkg:amd64 1.19.7ubuntu3
2025-07-08 06:08:52 install e2fsprogs:amd64 <none> 1.45.5-2ubuntu1
2025-07-08 06:08:52 status half-installed e2fsprogs:amd64 1.45.5-2ubuntu1
2025-07-08 06:08:52 status unpacked e2fsprogs:amd64 1.45.5-2ubuntu1
2025-07-08 06:08:52 install fdisk:amd64 <none> 2.34-0.1ubuntu9
2025-07-08 06:08:52 status half-installed fdisk:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:52 status unpacked fdisk:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:52 install findutils:amd64 <none> 4.7.0-1ubuntu1
2025-07-08 06:08:52 status half-installed findutils:amd64 4.7.0-1ubuntu1
2025-07-08 06:08:52 status unpacked findutils:amd64 4.7.0-1ubuntu1
2025-07-08 06:08:52 install gcc-10-base:amd64 <none> 10-20200411-0ubuntu1
2025-07-08 06:08:52 status half-installed gcc-10-base:amd64 10-20200411-0ubuntu1
2025-07-08 06:08:52 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2025-07-08 06:08:52 install grep:amd64 <none> 3.4-1
2025-07-08 06:08:52 status half-installed grep:amd64 3.4-1
2025-07-08 06:08:52 status unpacked grep:amd64 3.4-1
2025-07-08 06:08:52 install gzip:amd64 <none> 1.10-0ubuntu4
2025-07-08 06:08:52 status half-installed gzip:amd64 1.10-0ubuntu4
2025-07-08 06:08:52 status unpacked gzip:amd64 1.10-0ubuntu4
2025-07-08 06:08:52 install hostname:amd64 <none> 3.23
2025-07-08 06:08:52 status half-installed hostname:amd64 3.23
2025-07-08 06:08:52 status unpacked hostname:amd64 3.23
2025-07-08 06:08:52 install init-system-helpers:all <none> 1.57
2025-07-08 06:08:52 status half-installed init-system-helpers:all 1.57
2025-07-08 06:08:52 status unpacked init-system-helpers:all 1.57
2025-07-08 06:08:52 install libacl1:amd64 <none> 2.2.53-6
2025-07-08 06:08:52 status half-installed libacl1:amd64 2.2.53-6
2025-07-08 06:08:52 status unpacked libacl1:amd64 2.2.53-6
2025-07-08 06:08:52 install libattr1:amd64 <none> 1:2.4.48-5
2025-07-08 06:08:52 status half-installed libattr1:amd64 1:2.4.48-5
2025-07-08 06:08:52 status unpacked libattr1:amd64 1:2.4.48-5
2025-07-08 06:08:52 install libaudit-common:all <none> 1:2.8.5-2ubuntu6
2025-07-08 06:08:52 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2025-07-08 06:08:53 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2025-07-08 06:08:53 install libaudit1:amd64 <none> 1:2.8.5-2ubuntu6
2025-07-08 06:08:53 status half-installed libaudit1:amd64 1:2.8.5-2ubuntu6
2025-07-08 06:08:53 status unpacked libaudit1:amd64 1:2.8.5-2ubuntu6
2025-07-08 06:08:53 install libblkid1:amd64 <none> 2.34-0.1ubuntu9
2025-07-08 06:08:53 status half-installed libblkid1:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:53 status unpacked libblkid1:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:53 install libbz2-1.0:amd64 <none> 1.0.8-2
2025-07-08 06:08:53 status half-installed libbz2-1.0:amd64 1.0.8-2
2025-07-08 06:08:53 status unpacked libbz2-1.0:amd64 1.0.8-2
2025-07-08 06:08:53 install libc-bin:amd64 <none> 2.31-0ubuntu9
2025-07-08 06:08:53 status half-installed libc-bin:amd64 2.31-0ubuntu9
2025-07-08 06:08:53 status unpacked libc-bin:amd64 2.31-0ubuntu9
2025-07-08 06:08:53 upgrade libc6:amd64 2.31-0ubuntu9 2.31-0ubuntu9
2025-07-08 06:08:53 status half-configured libc6:amd64 2.31-0ubuntu9
2025-07-08 06:08:53 status unpacked libc6:amd64 2.31-0ubuntu9
2025-07-08 06:08:53 status half-installed libc6:amd64 2.31-0ubuntu9
2025-07-08 06:08:53 status unpacked libc6:amd64 2.31-0ubuntu9
2025-07-08 06:08:53 install libcap-ng0:amd64 <none> 0.7.9-2.1build1
2025-07-08 06:08:53 status half-installed libcap-ng0:amd64 0.7.9-2.1build1
2025-07-08 06:08:53 status unpacked libcap-ng0:amd64 0.7.9-2.1build1
2025-07-08 06:08:53 install libcom-err2:amd64 <none> 1.45.5-2ubuntu1
2025-07-08 06:08:53 status half-installed libcom-err2:amd64 1.45.5-2ubuntu1
2025-07-08 06:08:53 status unpacked libcom-err2:amd64 1.45.5-2ubuntu1
2025-07-08 06:08:53 install libcrypt1:amd64 <none> 1:4.4.10-10ubuntu4
2025-07-08 06:08:53 status half-installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2025-07-08 06:08:53 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2025-07-08 06:08:53 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.6ubuntu2
2025-07-08 06:08:53 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2025-07-08 06:08:54 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2025-07-08 06:08:54 install libdebconfclient0:amd64 <none> 0.251ubuntu1
2025-07-08 06:08:54 status half-installed libdebconfclient0:amd64 0.251ubuntu1
2025-07-08 06:08:54 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2025-07-08 06:08:54 install libext2fs2:amd64 <none> 1.45.5-2ubuntu1
2025-07-08 06:08:54 status half-installed libext2fs2:amd64 1.45.5-2ubuntu1
2025-07-08 06:08:54 status unpacked libext2fs2:amd64 1.45.5-2ubuntu1
2025-07-08 06:08:54 install libfdisk1:amd64 <none> 2.34-0.1ubuntu9
2025-07-08 06:08:54 status half-installed libfdisk1:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:54 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:54 install libgcc-s1:amd64 <none> 10-20200411-0ubuntu1
2025-07-08 06:08:54 status half-installed libgcc-s1:amd64 10-20200411-0ubuntu1
2025-07-08 06:08:54 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2025-07-08 06:08:54 install libgcrypt20:amd64 <none> 1.8.5-5ubuntu1
2025-07-08 06:08:54 status half-installed libgcrypt20:amd64 1.8.5-5ubuntu1
2025-07-08 06:08:54 status unpacked libgcrypt20:amd64 1.8.5-5ubuntu1
